type,week,cluster_id,current_share,baseline_share,z_score,severity,cluster_label,entity,observed,expected,ratio,p_value,novel_count,total_count,novel_share,sample_complaint_ids,companies_affected,company_list,avg_growth_ratio,common_issues,score
cluster_growing,2024-08-12/2024-08-18,9.0,5.91,2.65,6.12,high,"invaluable ensuring, feedback insights, expertise invaluable, completeness feedback, review examine",,,,,,,,,,,,,,16.12
cluster_shrinking,2024-02-19/2024-02-25,20.0,1.38,5.53,-6.11,high,"credit report, report, credit, accounts, fraudulent",,,,,,,,,,,,,,16.11
cluster_growing,2025-01-06/2025-01-12,9.0,4.61,1.96,6.07,high,"invaluable ensuring, feedback insights, expertise invaluable, completeness feedback, review examine",,,,,,,,,,,,,,16.07
cluster_shrinking,2024-03-11/2024-03-17,18.0,12.79,19.01,-6.06,high,"debt, company, xxxx, credit, account",,,,,,,,,,,,,,16.06
cluster_shrinking,2024-02-05/2024-02-11,20.0,1.87,7.27,-6.05,high,"credit report, report, credit, accounts, fraudulent",,,,,,,,,,,,,,16.05
volume_spike,2024-10-07/2024-10-13,,,,,high,,Alorica Inc.,5.0,1.2,4.0,0.009124,,,,,,,,,16.039814718635476
volume_spike,2024-12-02/2024-12-08,,,,,high,,"Lockhart, Morris & Montgomery Inc.",5.0,1.2,4.0,0.009124,,,,,,,,,16.039814718635476
volume_spike,2024-08-12/2024-08-18,,,,,high,,"Eastern Account Systems of Connecticut, Inc.",9.0,2.8,3.27,0.002161,,,,,,,,,15.935345213019836
cluster_growing,2024-10-07/2024-10-13,13.0,4.67,2.01,5.91,high,"creditor, debt, original creditor, original, dispute",,,,,,,,,,,,,,15.91
cluster_shrinking,2024-03-11/2024-03-17,29.0,1.95,5.17,-5.88,high,"1006, cfr 1006, 34, 12 cfr, cfr",,,,,,,,,,,,,,15.879999999999999
volume_spike,2025-01-20/2025-01-26,,,,,high,,CONTRACT CALLERS INC,7.0,2.0,3.5,0.004534,,,,,,,,,15.843518474630885
volume_spike,2025-01-27/2025-02-02,,,,,high,,LJ Ross Associates,7.0,2.0,3.5,0.004534,,,,,,,,,15.843518474630885
volume_spike,2024-04-15/2024-04-21,,,,,high,,Zions Debt Holdings,7.0,2.0,3.5,0.004534,,,,,,,,,15.843518474630885
cluster_growing,2024-10-28/2024-11-03,5.0,11.16,6.53,5.84,high,"debt, xxxx, collection, validation, request",,,,,,,,,,,,,,15.84
volume_spike,2024-07-01/2024-07-07,,,,,high,,"Sequium Asset Solutions, LLC",10.0,3.2,3.08,0.001969,,,,,,,,,15.78575426180528
volume_spike,2023-11-27/2023-12-03,,,,,high,,TrueAccord Corp.,10.0,3.2,3.08,0.001969,,,,,,,,,15.78575426180528
cluster_growing,2024-05-13/2024-05-19,18.0,17.58,11.87,5.75,high,"debt, company, xxxx, credit, account",,,,,,,,,,,,,,15.75
volume_spike,2024-08-26/2024-09-01,,,,,high,,CCF Intermediate Holdings LLC,6.0,1.7,3.6,0.007302,,,,,,,,,15.736558165438682
volume_spike,2024-06-17/2024-06-23,,,,,high,,Bridgecrest Acceptance Corporation,6.0,1.7,3.6,0.007302,,,,,,,,,15.736558165438682
cluster_shrinking,2024-09-23/2024-09-29,16.0,2.67,6.56,-5.72,high,"transactions, transactions report, authorize, report, did",,,,,,,,,,,,,,15.719999999999999
cluster_shrinking,2024-01-29/2024-02-04,20.0,2.1,7.38,-5.69,high,"credit report, report, credit, accounts, fraudulent",,,,,,,,,,,,,,15.690000000000001
cluster_shrinking,2024-12-23/2024-12-29,3.0,3.3,7.93,-5.63,high,"accounts, look documents, accordance fcra, report accordance, 605b look",,,,,,,,,,,,,,15.629999999999999
cluster_shrinking,2024-05-20/2024-05-26,20.0,0.55,3.16,-5.59,high,"credit report, report, credit, accounts, fraudulent",,,,,,,,,,,,,,15.59
cluster_shrinking,2024-05-27/2024-06-02,15.0,2.8,6.7,-5.59,high,"blocked, transactions, want, transactions blocked, removed important",,,,,,,,,,,,,,15.59
volume_spike,2024-09-30/2024-10-06,,,,,high,,Self Financial Inc.,8.0,2.5,3.2,0.004247,,,,,,,,,15.571917728783408
volume_spike,2024-09-23/2024-09-29,,,,,high,,"Collection Management Holdings, LLC",8.0,2.5,3.2,0.004247,,,,,,,,,15.571917728783408
cluster_shrinking,2024-04-22/2024-04-28,20.0,3.15,6.58,-5.51,high,"credit report, report, credit, accounts, fraudulent",,,,,,,,,,,,,,15.51
volume_spike,2024-07-22/2024-07-28,,,,,high,,TD BANK US HOLDING COMPANY,6.0,1.8,3.43,0.009134,,,,,,,,,15.469338987974316
volume_spike,2024-11-04/2024-11-10,,,,,high,,"The CBE Group, Inc.",6.0,1.8,3.43,0.009134,,,,,,,,,15.469338987974316
volume_spike,2024-07-08/2024-07-14,,,,,high,,NAVY FEDERAL CREDIT UNION,6.0,1.8,3.43,0.009134,,,,,,,,,15.469338987974316
volume_spike,2024-06-10/2024-06-16,,,,,high,,TrueAccord Corp.,6.0,1.8,3.43,0.009134,,,,,,,,,15.469338987974316
volume_spike,2025-01-13/2025-01-19,,,,,high,,CCF Intermediate Holdings LLC,6.0,1.8,3.43,0.009134,,,,,,,,,15.469338987974316
cluster_shrinking,2024-12-02/2024-12-08,9.0,1.05,3.86,-5.46,high,"invaluable ensuring, feedback insights, expertise invaluable, completeness feedback, review examine",,,,,,,,,,,,,,15.46
cluster_growing,2024-04-01/2024-04-07,26.0,15.69,10.79,5.44,high,"transactions, wish, formally, transactions consumer, inclusion specific",,,,,,,,,,,,,,15.440000000000001
cluster_growing,2024-07-22/2024-07-28,22.0,8.28,4.45,5.36,high,"debt, collector, debt collector, consumer, alleged",,,,,,,,,,,,,,15.36
cluster_growing,2024-06-17/2024-06-23,10.0,13.62,8.75,5.36,high,"recognize significance, ve identified, inaccurate troubling, erroneous entries, identified accounts",,,,,,,,,,,,,,15.36
cluster_growing,2024-06-10/2024-06-16,3.0,6.93,3.65,5.22,high,"accounts, look documents, accordance fcra, report accordance, 605b look",,,,,,,,,,,,,,15.219999999999999
cluster_growing,2024-03-11/2024-03-17,21.0,3.53,1.5,5.21,high,"accounts, listed accounts, listed, accounts credit, fcra 605b",,,,,,,,,,,,,,15.21
volume_spike,2023-12-04/2023-12-10,,,,,high,,Rent Recovery Solutions,7.0,2.2,3.11,0.008372,,,,,,,,,15.187170775145887
volume_spike,2023-11-27/2023-12-03,,,,,high,,JPMORGAN CHASE & CO.,7.0,2.2,3.11,0.008372,,,,,,,,,15.187170775145887
volume_spike,2024-08-19/2024-08-25,,,,,high,,"Sequium Asset Solutions, LLC",7.0,2.2,3.11,0.008372,,,,,,,,,15.187170775145887
volume_spike,2024-02-12/2024-02-18,,,,,high,,NAVY FEDERAL CREDIT UNION,7.0,2.2,3.11,0.008372,,,,,,,,,15.187170775145887
volume_spike,2023-12-11/2023-12-17,,,,,high,,"Eastern Account Systems of Connecticut, Inc.",7.0,2.2,3.11,0.008372,,,,,,,,,15.187170775145887
cluster_shrinking,2024-09-09/2024-09-15,12.0,0.29,2.55,-5.18,high,"code 1692e, 1692e, 15 code, code, nature legal",,,,,,,,,,,,,,15.18
cluster_shrinking,2025-01-06/2025-01-12,20.0,1.54,4.14,-5.17,high,"credit report, report, credit, accounts, fraudulent",,,,,,,,,,,,,,15.17
cluster_growing,2024-03-18/2024-03-24,28.0,9.12,5.62,5.09,high,"need reporting, reporting correction, correction company, accounts need, identified inaccurate",,,,,,,,,,,,,,15.09
cluster_growing,2024-03-25/2024-03-31,26.0,12.64,8.46,5.02,high,"transactions, wish, formally, transactions consumer, inclusion specific",,,,,,,,,,,,,,15.02
cluster_growing,2024-05-27/2024-06-02,26.0,6.24,3.37,5.0,high,"transactions, wish, formally, transactions consumer, inclusion specific",,,,,,,,,,,,,,15.0
volume_spike,2024-09-23/2024-09-29,,,,,medium,,"Kriya Capital, LLC",26.0,10.0,2.6,1.8e-05,,,,,,,,,12.344725082156275
volume_spike,2023-11-27/2023-12-03,,,,,medium,,CAPITAL ONE FINANCIAL CORPORATION,19.0,6.5,2.92,5.1e-05,,,,,,,,,12.21242897234509
volume_spike,2025-01-13/2025-01-19,,,,,medium,,"Rowland Avenue Management, Inc. A/KA Columbia Debt Recovery, LLC d/b/a Genesis",35.0,15.5,2.26,1.4e-05,,,,,,,,,12.113868862229397
volume_spike,2025-01-13/2025-01-19,,,,,low,,Resurgent Capital Services L.P.,166.0,95.8,1.73,0.0,,,,,,,,,11.73
volume_spike,2025-01-20/2025-01-26,,,,,low,,"Portfolio Recovery Associates, LLC",106.0,61.5,1.72,0.0,,,,,,,,,11.72
volume_spike,2024-04-22/2024-04-28,,,,,medium,,"W&A Intermediate Co., LLC",16.0,5.5,2.91,0.0002,,,,,,,,,11.608969787188833
volume_spike,2025-01-20/2025-01-26,,,,,low,,"EQUIFAX, INC.",145.0,91.5,1.58,0.0,,,,,,,,,11.58
volume_spike,2025-01-13/2025-01-19,,,,,low,,Experian Information Solutions Inc.,163.0,104.0,1.57,0.0,,,,,,,,,11.57
volume_spike,2025-01-20/2025-01-26,,,,,low,,Experian Information Solutions Inc.,184.0,119.2,1.54,0.0,,,,,,,,,11.54
volume_spike,2024-01-22/2024-01-28,,,,,medium,,TRANSWORLD SYSTEMS INC,26.0,11.0,2.36,8.2e-05,,,,,,,,,11.446185617989189
volume_spike,2024-12-16/2024-12-22,,,,,medium,,"Spring Oaks Capital, LLC",19.0,7.2,2.62,0.000201,,,,,,,,,11.31680372651266
volume_spike,2024-09-30/2024-10-06,,,,,medium,,"Sequium Asset Solutions, LLC",11.0,3.8,2.93,0.001743,,,,,,,,,10.688702587973514
volume_spike,2024-02-12/2024-02-18,,,,,medium,,"National Credit Systems,Inc.",26.0,12.0,2.17,0.000308,,,,,,,,,10.681449142494877
volume_spike,2024-01-22/2024-01-28,,,,,medium,,"CCS Financial Services, Inc.",27.0,12.8,2.12,0.000338,,,,,,,,,10.591083171232874
volume_spike,2024-06-10/2024-06-16,,,,,medium,,"Diversified Adjustment Service, Inc.",9.0,3.0,3.0,0.003803,,,,,,,,,10.41987366316863
volume_spike,2024-09-30/2024-10-06,,,,,medium,,"Collection Management Holdings, LLC",10.0,3.5,2.86,0.003315,,,,,,,,,10.339516454158318
